date,rain_likelihood_9_to_5,unique_codes_9_to_5,most_significant_weather_9_to_5
2022-04-18,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(63.0)]","Rain, moderate intensity"
2022-04-19,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(63.0)]","Rain, moderate intensity"
2022-04-20,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(61.0)]","Rain, slight intensity"
2022-04-21,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-04-22,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-04-23,Likely Rained,"[np.float32(2.0), np.float32(3.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-04-24,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-04-25,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0)]","Drizzle, light intensity"
2022-04-26,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-04-27,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-04-28,Most Likely Dry,"[np.float32(1.0), np.float32(2.0), np.float32(3.0)]",Overcast
2022-04-29,Most Likely Dry,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(3.0)]",Overcast
2022-04-30,Likely Rained,"[np.float32(51.0), np.float32(53.0), np.float32(55.0), np.float32(63.0), np.float32(65.0)]","Rain, heavy intensity"
2022-05-01,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(61.0)]","Rain, slight intensity"
2022-05-02,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-03,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-04,Likely Rained,"[np.float32(1.0), np.float32(2.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-05,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-06,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-05-07,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-08,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-09,Likely Rained,"[np.float32(2.0), np.float32(51.0), np.float32(53.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-05-10,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-11,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(63.0)]","Rain, moderate intensity"
2022-05-12,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-13,Likely Rained,"[np.float32(2.0), np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-14,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-05-15,Likely Rained,"[np.float32(1.0), np.float32(2.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-16,Likely Rained,"[np.float32(2.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-17,Likely Rained,"[np.float32(2.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-18,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-19,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-20,Most Likely Dry,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(3.0)]",Overcast
2022-05-21,Likely Rained,"[np.float32(2.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-05-22,Likely Rained,"[np.float32(2.0), np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-05-23,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-24,Likely Rained,"[np.float32(1.0), np.float32(51.0), np.float32(55.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-05-25,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(63.0)]","Rain, moderate intensity"
2022-05-26,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(63.0)]","Rain, moderate intensity"
2022-05-27,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(3.0), np.float32(51.0), np.float32(55.0), np.float32(63.0)]","Rain, moderate intensity"
2022-05-28,Likely Rained,"[np.float32(1.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-29,Likely Rained,"[np.float32(2.0), np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-30,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-05-31,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-01,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-02,Likely Rained,"[np.float32(0.0), np.float32(51.0)]","Drizzle, light intensity"
2022-06-03,Likely Rained,"[np.float32(1.0), np.float32(2.0), np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-04,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-06-05,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-06-06,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(63.0)]","Rain, moderate intensity"
2022-06-07,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-08,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(55.0), np.float32(61.0)]","Rain, slight intensity"
2022-06-09,Likely Rained,"[np.float32(0.0), np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-10,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-06-11,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(61.0)]","Rain, slight intensity"
2022-06-12,Most Likely Dry,"[np.float32(0.0), np.float32(1.0)]",Mainly clear
2022-06-13,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0)]","Drizzle, light intensity"
2022-06-14,Likely Rained,"[np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-06-15,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(63.0)]","Rain, moderate intensity"
2022-06-16,Likely Rained,"[np.float32(2.0), np.float32(3.0), np.float32(51.0), np.float32(61.0)]","Rain, slight intensity"
2022-06-17,Likely Rained,"[np.float32(1.0), np.float32(2.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-06-18,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-06-19,Most Likely Dry,"[np.float32(0.0), np.float32(1.0), np.float32(2.0)]",Partly cloudy
2022-06-20,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-21,Likely Rained,"[np.float32(2.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-06-22,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0), np.float32(53.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-06-23,Likely Rained,"[np.float32(0.0), np.float32(2.0), np.float32(51.0), np.float32(53.0), np.float32(55.0), np.float32(61.0)]","Rain, slight intensity"
2022-06-24,Likely Rained,"[np.float32(2.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-25,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(63.0)]","Rain, moderate intensity"
2022-06-26,Likely Rained,"[np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-06-27,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-06-28,Likely Rained,"[np.float32(0.0), np.float32(2.0), np.float32(51.0), np.float32(53.0), np.float32(61.0)]","Rain, slight intensity"
2022-06-29,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-06-30,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-01,Most Likely Dry,"[np.float32(0.0), np.float32(1.0)]",Mainly clear
2022-07-02,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(3.0), np.float32(51.0), np.float32(61.0)]","Rain, slight intensity"
2022-07-03,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-07-04,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-07-05,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0)]","Drizzle, light intensity"
2022-07-06,Likely Rained,"[np.float32(0.0), np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(61.0)]","Rain, slight intensity"
2022-07-07,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-08,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-07-09,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-07-10,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-07-11,Likely Rained,"[np.float32(0.0), np.float32(51.0)]","Drizzle, light intensity"
2022-07-12,Most Likely Dry,"[np.float32(0.0), np.float32(1.0)]",Mainly clear
2022-07-13,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-14,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-15,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(55.0), np.float32(61.0)]","Rain, slight intensity"
2022-07-16,Likely Rained,"[np.float32(1.0), np.float32(2.0), np.float32(3.0), np.float32(51.0), np.float32(63.0)]","Rain, moderate intensity"
2022-07-17,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0)]","Drizzle, light intensity"
2022-07-18,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-07-19,Likely Rained,"[np.float32(0.0), np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(61.0)]","Rain, slight intensity"
2022-07-20,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(53.0), np.float32(55.0), np.float32(61.0)]","Rain, slight intensity"
2022-07-21,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(63.0)]","Rain, moderate intensity"
2022-07-22,Likely Rained,"[np.float32(1.0), np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-07-23,Most Likely Dry,[np.float32(0.0)],Clear sky
2022-07-24,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-25,Likely Rained,"[np.float32(1.0), np.float32(2.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-26,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0)]","Drizzle, light intensity"
2022-07-27,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-28,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-29,Most Likely Dry,"[np.float32(0.0), np.float32(1.0), np.float32(2.0)]",Partly cloudy
2022-07-30,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-07-31,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0)]","Drizzle, light intensity"
2022-08-01,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(51.0)]","Drizzle, light intensity"
2022-08-02,Likely Rained,"[np.float32(0.0), np.float32(1.0), np.float32(51.0), np.float32(53.0), np.float32(61.0)]","Rain, slight intensity"
2022-08-03,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(61.0)]","Rain, slight intensity"
2022-08-04,Likely Rained,"[np.float32(1.0), np.float32(3.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
2022-08-05,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-08-06,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-08-07,Likely Rained,"[np.float32(1.0), np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-08-08,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-08-09,Most Likely Dry,"[np.float32(0.0), np.float32(1.0), np.float32(2.0), np.float32(3.0)]",Overcast
2022-08-10,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-08-11,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(63.0)]","Rain, moderate intensity"
2022-08-12,Likely Rained,"[np.float32(3.0), np.float32(51.0)]","Drizzle, light intensity"
2022-08-13,Most Likely Dry,"[np.float32(0.0), np.float32(1.0)]",Mainly clear
2022-08-14,Likely Rained,"[np.float32(1.0), np.float32(3.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-08-15,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-08-16,Likely Rained,"[np.float32(3.0), np.float32(51.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-08-17,Likely Rained,"[np.float32(51.0), np.float32(53.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-08-18,Likely Rained,"[np.float32(2.0), np.float32(51.0), np.float32(53.0)]","Drizzle, moderate intensity"
2022-08-19,Likely Rained,"[np.float32(0.0), np.float32(3.0), np.float32(51.0), np.float32(53.0), np.float32(55.0), np.float32(61.0)]","Rain, slight intensity"
2022-08-20,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-08-21,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(53.0), np.float32(61.0), np.float32(63.0)]","Rain, moderate intensity"
2022-08-22,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(61.0), np.float32(63.0), np.float32(65.0)]","Rain, heavy intensity"
2022-08-23,Likely Rained,"[np.float32(0.0), np.float32(51.0), np.float32(55.0)]","Drizzle, dense intensity"
