date,weather_code,precipitation_sum_inch,temperature_2m_max_f,rain_sum_inch,temperature_2m_min_f,temperature_2m_mean_f,precipitation_probability_mean
2022-04-18,63.00,0.21,85.77,0.21,70.56,76.45,
2022-04-19,63.00,0.27,86.13,0.27,71.28,76.81,
2022-04-20,61.00,0.32,83.07,0.32,72.18,75.57,
2022-04-21,53.00,0.11,82.44,0.11,72.18,76.17,
2022-04-22,55.00,0.09,80.82,0.09,71.64,75.93,
2022-04-23,55.00,0.07,80.28,0.07,71.55,75.79,
2022-04-24,51.00,0.02,81.27,0.02,72.00,76.22,
2022-04-25,51.00,0.02,81.54,0.02,71.64,76.20,
2022-04-26,51.00,0.01,80.64,0.01,70.83,75.75,
2022-04-27,51.00,0.02,80.82,0.02,71.64,75.47,
2022-04-28,3.00,0.00,82.17,0.00,69.12,75.46,
2022-04-29,3.00,0.00,82.53,0.00,69.57,76.81,
2022-04-30,65.00,1.22,80.10,1.22,73.26,76.13,
2022-05-01,63.00,0.97,79.38,0.97,71.10,75.33,
2022-05-02,51.00,0.05,82.53,0.05,73.98,77.27,
2022-05-03,51.00,0.03,85.77,0.03,74.25,78.36,
2022-05-04,51.00,0.03,83.16,0.03,73.35,77.43,
2022-05-05,53.00,0.05,83.79,0.05,73.17,77.76,
2022-05-06,61.00,0.17,83.97,0.17,72.81,77.17,
2022-05-07,53.00,0.10,83.52,0.10,71.64,76.70,
2022-05-08,53.00,0.09,83.61,0.09,69.66,76.65,
2022-05-09,55.00,0.19,85.41,0.19,72.90,78.39,
2022-05-10,53.00,0.09,85.86,0.09,70.38,77.73,
2022-05-11,63.00,0.26,87.12,0.26,73.26,78.67,
2022-05-12,53.00,0.04,86.67,0.04,74.61,79.68,
2022-05-13,53.00,0.07,86.04,0.07,73.98,78.94,
2022-05-14,55.00,0.07,86.04,0.07,73.98,78.73,
2022-05-15,51.00,0.03,85.59,0.03,72.90,78.54,
2022-05-16,53.00,0.11,83.97,0.11,72.99,78.15,
2022-05-17,53.00,0.12,86.76,0.12,73.98,79.33,
2022-05-18,51.00,0.02,85.59,0.02,75.33,80.01,
2022-05-19,51.00,0.02,86.40,0.02,74.07,80.24,
2022-05-20,3.00,0.00,87.93,0.00,73.98,80.28,
2022-05-21,51.00,0.03,86.58,0.03,76.41,80.58,
2022-05-22,63.00,0.38,85.41,0.38,75.42,79.65,
2022-05-23,53.00,0.09,84.33,0.09,73.98,78.60,
2022-05-24,63.00,0.41,83.25,0.41,73.44,77.91,
2022-05-25,63.00,0.33,83.97,0.33,72.18,77.80,
2022-05-26,63.00,0.21,85.50,0.21,72.36,77.65,
2022-05-27,63.00,0.24,84.87,0.24,73.44,78.08,
2022-05-28,53.00,0.10,85.05,0.10,74.34,78.96,
2022-05-29,53.00,0.09,85.50,0.09,75.24,79.92,
2022-05-30,53.00,0.09,85.32,0.09,75.60,80.02,
2022-05-31,53.00,0.08,85.59,0.08,75.24,79.74,
2022-06-01,53.00,0.10,85.77,0.10,73.80,79.38,
2022-06-02,51.00,0.05,85.68,0.05,73.80,79.43,
2022-06-03,53.00,0.10,86.58,0.10,72.63,79.20,
2022-06-04,51.00,0.01,86.76,0.01,74.61,79.96,
2022-06-05,55.00,0.10,89.28,0.10,73.62,80.69,
2022-06-06,63.00,0.15,89.01,0.15,72.72,80.39,
2022-06-07,53.00,0.07,88.56,0.07,75.15,81.35,
2022-06-08,61.00,0.13,86.04,0.13,75.15,80.23,
2022-06-09,53.00,0.04,85.32,0.04,74.88,79.88,
2022-06-10,55.00,0.07,86.58,0.07,75.33,80.53,
2022-06-11,61.00,0.20,85.95,0.20,75.42,80.37,
2022-06-12,3.00,0.00,88.20,0.00,75.78,81.57,
2022-06-13,51.00,0.02,85.86,0.02,76.05,80.75,
2022-06-14,55.00,0.15,84.51,0.15,76.05,79.85,
2022-06-15,63.00,0.26,85.05,0.26,74.79,79.48,
2022-06-16,61.00,0.11,85.14,0.11,73.89,78.42,
2022-06-17,51.00,0.02,87.03,0.02,72.81,80.26,
2022-06-18,51.00,0.01,87.57,0.01,71.46,80.61,
2022-06-19,3.00,0.00,88.38,0.00,74.07,80.63,
2022-06-20,53.00,0.09,86.40,0.09,76.50,81.00,
2022-06-21,55.00,0.13,86.22,0.13,74.88,79.98,
2022-06-22,55.00,0.11,85.86,0.11,73.53,79.18,
2022-06-23,61.00,0.15,86.85,0.15,71.82,78.88,
2022-06-24,61.00,0.19,86.22,0.19,72.99,79.65,
2022-06-25,63.00,0.28,87.03,0.28,74.25,78.90,
2022-06-26,63.00,0.25,86.22,0.25,73.62,78.81,
2022-06-27,55.00,0.06,89.64,0.06,75.15,80.98,
2022-06-28,61.00,0.17,86.49,0.17,76.14,80.98,
2022-06-29,53.00,0.10,87.30,0.10,77.31,81.41,
2022-06-30,53.00,0.08,86.22,0.08,75.69,81.01,
2022-07-01,1.00,0.00,86.31,0.00,76.59,81.42,
2022-07-02,63.00,0.24,86.58,0.24,77.85,80.49,
2022-07-03,63.00,0.28,88.38,0.28,76.77,80.67,
2022-07-04,55.00,0.13,86.13,0.13,76.41,80.71,
2022-07-05,51.00,0.04,84.60,0.04,74.97,79.54,
2022-07-06,63.00,0.46,85.95,0.46,73.35,78.55,
2022-07-07,53.00,0.05,86.76,0.05,73.17,79.31,
2022-07-08,63.00,0.29,85.95,0.29,76.05,79.84,
2022-07-09,63.00,0.24,86.22,0.24,76.59,80.23,
2022-07-10,63.00,0.37,85.86,0.37,76.50,78.99,
2022-07-11,51.00,0.10,85.77,0.10,75.33,80.43,
2022-07-12,1.00,0.00,86.22,0.00,76.41,81.15,
2022-07-13,53.00,0.06,82.98,0.06,76.23,79.29,
2022-07-14,53.00,0.05,85.77,0.05,75.42,79.73,
2022-07-15,61.00,0.22,85.77,0.22,74.97,79.61,
2022-07-16,63.00,0.12,88.02,0.12,75.87,81.05,
2022-07-17,51.00,0.00,86.31,0.00,77.76,81.91,
2022-07-18,55.00,0.11,86.13,0.11,74.88,79.76,
2022-07-19,61.00,0.13,84.87,0.13,75.69,79.73,
2022-07-20,61.00,0.29,87.84,0.29,75.78,80.71,
2022-07-21,63.00,0.24,84.87,0.24,76.95,79.82,
2022-07-22,61.00,0.12,88.11,0.12,76.86,81.80,
2022-07-23,51.00,0.01,85.41,0.01,74.70,80.42,
2022-07-24,55.00,0.11,85.86,0.11,75.60,80.01,
2022-07-25,53.00,0.06,87.48,0.06,75.87,81.25,
2022-07-26,51.00,0.03,87.12,0.03,77.58,81.66,
2022-07-27,53.00,0.07,86.76,0.07,75.33,79.79,
2022-07-28,53.00,0.06,86.04,0.06,74.88,80.00,
2022-07-29,2.00,0.00,85.86,0.00,76.14,80.75,
2022-07-30,53.00,0.06,87.12,0.06,77.49,82.07,
2022-07-31,51.00,0.01,88.02,0.01,79.02,83.01,
2022-08-01,51.00,0.02,87.93,0.02,79.56,82.75,
2022-08-02,61.00,0.11,86.85,0.11,76.77,80.92,
2022-08-03,61.00,0.09,86.85,0.09,75.87,80.73,
2022-08-04,55.00,0.07,85.68,0.07,77.04,81.43,
2022-08-05,51.00,0.03,86.40,0.03,76.32,81.24,
2022-08-06,51.00,0.00,87.21,0.00,77.67,81.86,
2022-08-07,61.00,0.13,86.85,0.13,77.67,80.77,
2022-08-08,51.00,0.00,87.66,0.00,78.21,82.43,
2022-08-09,51.00,0.00,87.93,0.00,77.76,82.35,
2022-08-10,51.00,0.04,86.76,0.04,76.50,81.69,
2022-08-11,63.00,0.15,89.01,0.15,77.22,81.63,
2022-08-12,51.00,0.02,88.02,0.02,77.13,82.01,
2022-08-13,3.00,0.00,87.75,0.00,75.42,81.42,
2022-08-14,53.00,0.09,86.94,0.09,76.59,81.05,
2022-08-15,63.00,0.24,88.38,0.24,74.16,80.32,
2022-08-16,63.00,0.85,87.84,0.85,74.52,79.49,
2022-08-17,63.00,0.33,84.51,0.33,74.61,78.99,
2022-08-18,53.00,0.11,86.58,0.11,76.05,79.90,
2022-08-19,61.00,0.14,85.95,0.14,76.68,80.99,
2022-08-20,63.00,0.28,86.40,0.28,77.40,80.75,
2022-08-21,63.00,0.35,86.22,0.35,73.98,79.14,
2022-08-22,65.00,0.83,87.03,0.83,73.62,77.70,
2022-08-23,55.00,0.07,85.95,0.07,72.90,78.52,
2022-08-24,55.00,0.11,88.74,0.11,75.15,81.33,
2022-08-25,55.00,0.15,86.04,0.15,76.77,80.16,
2022-08-26,61.00,0.13,87.75,0.13,76.41,81.22,
2022-08-27,51.00,0.06,87.39,0.06,74.97,80.53,
2022-08-28,61.00,0.19,86.94,0.19,75.60,79.80,
2022-08-29,63.00,0.39,86.49,0.39,75.24,79.47,
2022-08-30,61.00,0.19,87.21,0.19,75.69,80.46,
2022-08-31,63.00,0.18,85.95,0.18,76.05,79.81,
2022-09-01,53.00,0.03,85.86,0.03,74.97,79.74,
2022-09-02,2.00,0.00,86.85,0.00,74.70,80.98,
2022-09-03,55.00,0.11,86.13,0.11,77.76,81.44,
2022-09-04,63.00,0.30,85.86,0.30,77.67,81.04,
2022-09-05,63.00,0.24,86.49,0.24,76.68,80.93,
2022-09-06,51.00,0.02,87.03,0.02,75.15,81.50,
2022-09-07,53.00,0.04,89.01,0.04,75.42,81.47,
2022-09-08,51.00,0.02,88.74,0.02,77.04,82.19,
2022-09-09,65.00,0.38,88.56,0.38,74.43,80.67,
2022-09-10,53.00,0.07,87.30,0.07,76.05,81.13,
2022-09-11,61.00,0.12,86.58,0.12,76.77,81.59,
2022-09-12,61.00,0.14,86.76,0.14,75.60,80.71,
2022-09-13,53.00,0.09,89.28,0.09,75.42,81.36,
2022-09-14,53.00,0.03,88.83,0.03,77.31,82.36,
2022-09-15,51.00,0.01,88.47,0.01,77.76,82.42,
2022-09-16,53.00,0.07,86.85,0.07,78.03,81.70,
2022-09-17,51.00,0.11,87.03,0.11,76.41,81.28,
2022-09-18,65.00,4.68,78.93,4.68,74.70,76.79,
2022-09-19,63.00,1.57,79.56,1.57,74.25,76.66,
